type,count,amount,name,year,quarter,state
TOTAL,812720,1774232508.9539132,mahendragarh district,2020,1,haryana
TOTAL,1533724,3820470010.45599,hisar district,2020,1,haryana
TOTAL,1579733,4003478768.7248425,karnal district,2020,1,haryana
TOTAL,438880,1074164856.9302568,fatehabad district,2020,1,haryana
TOTAL,1613263,3109146806.57809,palwal district,2020,1,haryana
TOTAL,208834,562772483.6054599,charkhi dadri district,2020,1,haryana
TOTAL,956506,2112697116.850913,ambala district,2020,1,haryana
TOTAL,1747564,3142595798.451387,rewari district,2020,1,haryana
TOTAL,651033,1274745092.2280152,panchkula district,2020,1,haryana
TOTAL,768147,2100759580.6725063,bhiwani district,2020,1,haryana
TOTAL,656981,1538727815.1352916,sirsa district,2020,1,haryana
TOTAL,1241283,3154872672.0695767,mewat district,2020,1,haryana
TOTAL,1781967,4661669007.4263115,panipat district,2020,1,haryana
TOTAL,16484737,21152356889.052498,gurugram district,2020,1,haryana
TOTAL,483716,1393783067.4023824,kaithal district,2020,1,haryana
TOTAL,976468,2101835665.2169333,kurukshetra district,2020,1,haryana
TOTAL,1089583,2372192750.431947,jhajjar district,2020,1,haryana
TOTAL,645364,1269799998.4387665,yamunanagar district,2020,2,haryana
TOTAL,2067865,5016220638.103821,sonipat district,2020,2,haryana
TOTAL,791601,2194774577.812515,jind district,2020,2,haryana
TOTAL,2050920,5946541938.965281,rohtak district,2020,2,haryana
TOTAL,5775792,8177450074.37961,faridabad district,2020,2,haryana
TOTAL,1152066,2503496877.6459007,mahendragarh district,2020,2,haryana
TOTAL,1644838,4146210408.4450903,hisar district,2020,2,haryana
TOTAL,1629574,4045109843.2026005,karnal district,2020,2,haryana
TOTAL,533673,1312791083.1632023,fatehabad district,2020,2,haryana
TOTAL,2090627,3788124543.124005,palwal district,2020,2,haryana
TOTAL,301953,834008663.4588814,charkhi dadri district,2020,2,haryana
TOTAL,1016809,2154410296.002072,ambala district,2020,2,haryana
TOTAL,2022132,3582603328.500936,rewari district,2020,2,haryana
TOTAL,619625,1199233109.3167996,panchkula district,2020,2,haryana
TOTAL,973720,2795033053.460747,bhiwani district,2020,2,haryana
TOTAL,759835,1811788465.1291971,sirsa district,2020,2,haryana
TOTAL,1598705,3658746771.705061,mewat district,2020,2,haryana
TOTAL,2011582,5207544726.945988,panipat district,2020,2,haryana
TOTAL,11284856,14426170120.903454,gurugram district,2020,2,haryana
TOTAL,583834,1619967939.1519618,kaithal district,2020,2,haryana
TOTAL,978542,2346620365.2637324,kurukshetra district,2020,2,haryana
TOTAL,1247137,2674618100.8210006,jhajjar district,2020,2,haryana
TOTAL,763343,1615787281.7710702,yamunanagar district,2020,3,haryana
TOTAL,2922945,7024743099.006162,sonipat district,2020,3,haryana
TOTAL,893421,2533560699.496646,jind district,2020,3,haryana
TOTAL,1740356,4643691557.73987,rohtak district,2020,3,haryana
TOTAL,8700173,13490214442.585878,faridabad district,2020,3,haryana
TOTAL,1444047,3179331732.079674,mahendragarh district,2020,3,haryana
TOTAL,2209518,5761605477.767698,hisar district,2020,3,haryana
TOTAL,1955755,4578348863.2612,karnal district,2020,3,haryana
TOTAL,623907,1615396730.667015,fatehabad district,2020,3,haryana
TOTAL,2672871,4869775358.80177,palwal district,2020,3,haryana
TOTAL,356875,1030013843.4751177,charkhi dadri district,2020,3,haryana
TOTAL,1529567,3610359386.4637203,ambala district,2020,3,haryana
TOTAL,3041169,5346067429.247877,rewari district,2020,3,haryana
TOTAL,802938,1612924042.149621,panchkula district,2020,3,haryana
TOTAL,1151218,3304152585.3724966,bhiwani district,2020,3,haryana
TOTAL,907337,2219962582.3281684,sirsa district,2020,3,haryana
TOTAL,2107221,5099537212.926384,mewat district,2020,3,haryana
TOTAL,2334545,5809998640.786768,panipat district,2020,3,haryana
TOTAL,18098421,23437360421.862156,gurugram district,2020,3,haryana
TOTAL,679617,1932756087.885961,kaithal district,2020,3,haryana
TOTAL,1320433,3113702590.4685006,kurukshetra district,2020,3,haryana
TOTAL,1682502,3738660379.586417,jhajjar district,2020,3,haryana
TOTAL,1077956,2410444772.0000343,yamunanagar district,2020,4,haryana
TOTAL,3721622,9010603701.960873,sonipat district,2020,4,haryana
TOTAL,1272317,3898130378.6098533,jind district,2020,4,haryana
TOTAL,2331057,6256117815.679721,rohtak district,2020,4,haryana
TOTAL,12149079,19603646063.147858,faridabad district,2020,4,haryana
TOTAL,2071830,5132014525.594752,mahendragarh district,2020,4,haryana
TOTAL,3190398,8738948858.681063,hisar district,2020,4,haryana
TOTAL,2527301,6152410695.701475,karnal district,2020,4,haryana
TOTAL,929917,2561718838.438777,fatehabad district,2020,4,haryana
TOTAL,3692902,7333424919.068589,palwal district,2020,4,haryana
TOTAL,516694,1591959232.8183222,charkhi dadri district,2020,4,haryana
TOTAL,1935671,4518807087.52457,ambala district,2020,4,haryana
TOTAL,4329508,8169865745.127572,rewari district,2020,4,haryana
TOTAL,1120856,2225317959.4937544,panchkula district,2020,4,haryana
TOTAL,1703541,5280654023.625282,bhiwani district,2020,4,haryana
TOTAL,1289154,3492793677.7845526,sirsa district,2020,4,haryana
TOTAL,2948645,7484819524.783331,mewat district,2020,4,haryana
TOTAL,3059943,7874714735.936349,panipat district,2020,4,haryana
TOTAL,28192581,35629614077.0103,gurugram district,2020,4,haryana
TOTAL,959377,2945844252.9955387,kaithal district,2020,4,haryana
TOTAL,1721950,4141680049.095256,kurukshetra district,2020,4,haryana
TOTAL,2429140,5544973431.463554,jhajjar district,2020,4,haryana
TOTAL,1043361,2388580347.284953,yamunanagar district,2021,1,haryana
TOTAL,4353956,9992974986.499811,sonipat district,2021,1,haryana
TOTAL,1154593,3573969997.6140203,jind district,2021,1,haryana
TOTAL,2708295,6792159646.7480345,rohtak district,2021,1,haryana
TOTAL,12970900,21241648453.917847,faridabad district,2021,1,haryana
TOTAL,2091685,5054815918.884792,mahendragarh district,2021,1,haryana
TOTAL,3294765,8859730937.00682,hisar district,2021,1,haryana
TOTAL,2822406,6379825746.570849,karnal district,2021,1,haryana
TOTAL,997671,2397117720.9094105,fatehabad district,2021,1,haryana
TOTAL,3641453,7214450169.004797,palwal district,2021,1,haryana
TOTAL,500029,1545051474.2177424,charkhi dadri district,2021,1,haryana
TOTAL,2455019,5222888389.089357,ambala district,2021,1,haryana
TOTAL,4385531,8303713646.79833,rewari district,2021,1,haryana
TOTAL,1145687,2252411265.671176,panchkula district,2021,1,haryana
TOTAL,1699650,5156315675.845505,bhiwani district,2021,1,haryana
TOTAL,1294809,3492030664.7386966,sirsa district,2021,1,haryana
TOTAL,3236320,8671355565.335659,mewat district,2021,1,haryana
TOTAL,3288095,7866864997.406405,panipat district,2021,1,haryana
TOTAL,31719830,39350276708.73313,gurugram district,2021,1,haryana
TOTAL,852261,2586851316.8576727,kaithal district,2021,1,haryana
TOTAL,2295153,5110348415.3477,kurukshetra district,2021,1,haryana
TOTAL,2301315,5484919037.9458275,jhajjar district,2021,1,haryana
TOTAL,1288367,2864427756.781926,yamunanagar district,2021,2,haryana
TOTAL,5818055,12924700817.493427,sonipat district,2021,2,haryana
TOTAL,1550803,4689686886.344697,jind district,2021,2,haryana
TOTAL,3586587,8769888644.596024,rohtak district,2021,2,haryana
TOTAL,14467773,23831325859.81366,faridabad district,2021,2,haryana
TOTAL,2724054,6287702298.385579,mahendragarh district,2021,2,haryana
TOTAL,4588374,11866795026.651602,hisar district,2021,2,haryana
TOTAL,3501189,7822099240.647442,karnal district,2021,2,haryana
TOTAL,1100601,3020218252.6477695,fatehabad district,2021,2,haryana
TOTAL,4765916,9533885152.80025,palwal district,2021,2,haryana
TOTAL,684041,2088906079.701446,charkhi dadri district,2021,2,haryana
TOTAL,3023586,6179397558.051969,ambala district,2021,2,haryana
TOTAL,5377720,9762169802.61403,rewari district,2021,2,haryana
TOTAL,1272702,2459954745.8011866,panchkula district,2021,2,haryana
TOTAL,2267331,6728640756.042201,bhiwani district,2021,2,haryana
TOTAL,1608624,4366016286.75495,sirsa district,2021,2,haryana
TOTAL,4011429,9985192715.597248,mewat district,2021,2,haryana
TOTAL,4781725,10716524259.182951,panipat district,2021,2,haryana
TOTAL,32311326,39938868048.39106,gurugram district,2021,2,haryana
TOTAL,1115241,3361028623.8560677,kaithal district,2021,2,haryana
TOTAL,2888055,6319003500.327952,kurukshetra district,2021,2,haryana
TOTAL,2947357,6840921926.20001,jhajjar district,2021,2,haryana
TOTAL,1645578,3389970834.12311,yamunanagar district,2021,3,haryana
TOTAL,7173052,14357121849.97747,sonipat district,2021,3,haryana
TOTAL,1850342,5031028936.730069,jind district,2021,3,haryana
TOTAL,4615616,10168683402.047003,rohtak district,2021,3,haryana
TOTAL,19367342,30608591108.260963,faridabad district,2021,3,haryana
TOTAL,3395777,7301706022.252072,mahendragarh district,2021,3,haryana
TOTAL,5215891,12437366867.171389,hisar district,2021,3,haryana
TOTAL,4403307,8835919266.381252,karnal district,2021,3,haryana
TOTAL,1376222,3397455787.171774,fatehabad district,2021,3,haryana
TOTAL,5875612,10372287086.183144,palwal district,2021,3,haryana
TOTAL,836718,2300260231.729553,charkhi dadri district,2021,3,haryana
TOTAL,3571542,6863762736.196912,ambala district,2021,3,haryana
TOTAL,7225396,12146892237.730429,rewari district,2021,3,haryana
TOTAL,1687993,3102317465.6037097,panchkula district,2021,3,haryana
TOTAL,2813880,7537025745.245574,bhiwani district,2021,3,haryana
TOTAL,2082195,5060911913.209234,sirsa district,2021,3,haryana
TOTAL,5054460,11174788500.58817,mewat district,2021,3,haryana
TOTAL,6120958,12577188571.756681,panipat district,2021,3,haryana
TOTAL,47680658,55914389975.07391,gurugram district,2021,3,haryana
TOTAL,1318837,3485425651.3276243,kaithal district,2021,3,haryana
TOTAL,3292588,6684284263.874128,kurukshetra district,2021,3,haryana
TOTAL,3855729,8079713806.573341,jhajjar district,2021,3,haryana
TOTAL,2005594,4432197771.83603,yamunanagar district,2021,4,haryana
TOTAL,8588386,18170993284.939045,sonipat district,2021,4,haryana
TOTAL,2259248,6816681201.932595,jind district,2021,4,haryana
TOTAL,5544335,13098837015.965267,rohtak district,2021,4,haryana
TOTAL,23169872,38292223252.23201,faridabad district,2021,4,haryana
TOTAL,4181692,9914590329.515892,mahendragarh district,2021,4,haryana
TOTAL,6193863,16081687128.153656,hisar district,2021,4,haryana
TOTAL,5416815,11527031601.801613,karnal district,2021,4,haryana
TOTAL,1625730,4609405749.168196,fatehabad district,2021,4,haryana
TOTAL,7384842,13860018394.657877,palwal district,2021,4,haryana
TOTAL,1043359,3067273213.74452,charkhi dadri district,2021,4,haryana
TOTAL,4375829,8691950949.003767,ambala district,2021,4,haryana
TOTAL,8487387,15492946892.608118,rewari district,2021,4,haryana
TOTAL,2002888,3658626137.798519,panchkula district,2021,4,haryana
TOTAL,3472532,10151556217.957071,bhiwani district,2021,4,haryana
TOTAL,2446496,6559405966.752363,sirsa district,2021,4,haryana
TOTAL,6907605,14906046920.126253,mewat district,2021,4,haryana
TOTAL,7419868,16276012822.879314,panipat district,2021,4,haryana
TOTAL,56754843,69593103272.65858,gurugram district,2021,4,haryana
TOTAL,1588180,4762264446.440141,kaithal district,2021,4,haryana
TOTAL,4001894,8695022744.013264,kurukshetra district,2021,4,haryana
TOTAL,4815717,10582723986.276371,jhajjar district,2021,4,haryana
TOTAL,118881,146873607.41695297,solan district,2018,1,himachal-pradesh
TOTAL,37721,43579534.40144637,sirmaur district,2018,1,himachal-pradesh
TOTAL,54161,84375526.97610706,shimla district,2018,1,himachal-pradesh
TOTAL,21880,20215586.707121648,bilaspur district,2018,1,himachal-pradesh
TOTAL,32709,37506250.252365,hamirpur district,2018,1,himachal-pradesh
TOTAL,39070,48375221.958015576,una district,2018,1,himachal-pradesh
TOTAL,62061,83269925.3876329,kangra district,2018,1,himachal-pradesh
TOTAL,23978,36599342.90480824,kullu district,2018,1,himachal-pradesh
TOTAL,44169,50308276.31329341,mandi district,2018,1,himachal-pradesh
TOTAL,335,441404.9147610669,lahul and spiti district,2018,1,himachal-pradesh
TOTAL,41138,69091183.95337541,chamba district,2018,1,himachal-pradesh
TOTAL,5815,8101945.186458489,kinnaur district,2018,1,himachal-pradesh
TOTAL,166516,254576422.91686356,solan district,2018,2,himachal-pradesh
TOTAL,53040,77059907.62248287,sirmaur district,2018,2,himachal-pradesh
TOTAL,82195,162202102.59693143,shimla district,2018,2,himachal-pradesh
TOTAL,30705,41392933.9580691,bilaspur district,2018,2,himachal-pradesh
TOTAL,41507,63207300.3000073,hamirpur district,2018,2,himachal-pradesh
TOTAL,51637,81025669.32592821,una district,2018,2,himachal-pradesh
TOTAL,97426,172859755.31581038,kangra district,2018,2,himachal-pradesh
TOTAL,39948,96624850.44143352,kullu district,2018,2,himachal-pradesh
TOTAL,58415,85994890.15581088,mandi district,2018,2,himachal-pradesh
TOTAL,774,1438357.7915857893,lahul and spiti district,2018,2,himachal-pradesh
TOTAL,55922,125825520.94711924,chamba district,2018,2,himachal-pradesh
TOTAL,9610,20961589.979082577,kinnaur district,2018,2,himachal-pradesh
TOTAL,229164,373018057.4322363,solan district,2018,3,himachal-pradesh
TOTAL,78762,124334576.99894318,sirmaur district,2018,3,himachal-pradesh
TOTAL,109765,261701779.39463177,shimla district,2018,3,himachal-pradesh
TOTAL,37993,56133326.966728725,bilaspur district,2018,3,himachal-pradesh
TOTAL,58022,90529572.1234664,hamirpur district,2018,3,himachal-pradesh
TOTAL,73766,150521417.27225596,una district,2018,3,himachal-pradesh
TOTAL,123560,243834956.6313929,kangra district,2018,3,himachal-pradesh
TOTAL,40813,95127772.88091436,kullu district,2018,3,himachal-pradesh
TOTAL,74604,128941896.30651332,mandi district,2018,3,himachal-pradesh
TOTAL,972,2922830.176216326,lahul and spiti district,2018,3,himachal-pradesh
TOTAL,44858,190977335.4683498,chamba district,2018,3,himachal-pradesh
TOTAL,14475,35997911.20638294,kinnaur district,2018,3,himachal-pradesh
TOTAL,347191,577618789.1056865,solan district,2018,4,himachal-pradesh
TOTAL,122707,199344353.77429008,sirmaur district,2018,4,himachal-pradesh
TOTAL,156832,396860638.04644364,shimla district,2018,4,himachal-pradesh
TOTAL,51395,92955686.23996082,bilaspur district,2018,4,himachal-pradesh
TOTAL,76300,146948802.40681252,hamirpur district,2018,4,himachal-pradesh
TOTAL,110312,222928340.6712972,una district,2018,4,himachal-pradesh
TOTAL,187764,414603049.9879074,kangra district,2018,4,himachal-pradesh
TOTAL,64285,157752014.91735005,kullu district,2018,4,himachal-pradesh
TOTAL,109661,203827486.01186574,mandi district,2018,4,himachal-pradesh
TOTAL,1015,2322169.334039093,lahul and spiti district,2018,4,himachal-pradesh
TOTAL,63298,160650916.98309675,chamba district,2018,4,himachal-pradesh
TOTAL,17123,45486720.66048766,kinnaur district,2018,4,himachal-pradesh
TOTAL,626201,733453989.2236599,solan district,2019,1,himachal-pradesh
TOTAL,174812,238804557.7773369,sirmaur district,2019,1,himachal-pradesh
TOTAL,363648,708861957.1918447,shimla district,2019,1,himachal-pradesh
TOTAL,73141,109483745.6606721,bilaspur district,2019,1,himachal-pradesh
TOTAL,126323,189186708.125866,hamirpur district,2019,1,himachal-pradesh
TOTAL,151550,232335414.5268033,una district,2019,1,himachal-pradesh
TOTAL,266655,478900506.5331108,kangra district,2019,1,himachal-pradesh
TOTAL,92009,187262819.029819,kullu district,2019,1,himachal-pradesh
TOTAL,167637,287549707.5047521,mandi district,2019,1,himachal-pradesh
TOTAL,897,2325335.6414572285,lahul and spiti district,2019,1,himachal-pradesh
TOTAL,104811,170503559.13791427,chamba district,2019,1,himachal-pradesh
TOTAL,21034,42813142.63781583,kinnaur district,2019,1,himachal-pradesh
TOTAL,481957,783011937.8847647,solan district,2019,2,himachal-pradesh
TOTAL,127208,220885809.97856867,sirmaur district,2019,2,himachal-pradesh
TOTAL,807095,1698682743.2090461,shimla district,2019,2,himachal-pradesh
TOTAL,68748,128917341.52795482,bilaspur district,2019,2,himachal-pradesh
TOTAL,150149,270178390.1615547,hamirpur district,2019,2,himachal-pradesh
TOTAL,105685,189321647.9190805,una district,2019,2,himachal-pradesh
TOTAL,295433,591536934.950475,kangra district,2019,2,himachal-pradesh
TOTAL,129068,331174039.37828636,kullu district,2019,2,himachal-pradesh
TOTAL,245467,464902888.77251077,mandi district,2019,2,himachal-pradesh
TOTAL,1324,3494809.084068289,lahul and spiti district,2019,2,himachal-pradesh
TOTAL,62922,128008869.00606377,chamba district,2019,2,himachal-pradesh
TOTAL,27250,65768561.738205254,kinnaur district,2019,2,himachal-pradesh
TOTAL,563580,919355818.0941985,solan district,2019,3,himachal-pradesh
TOTAL,154972,258531496.7275585,sirmaur district,2019,3,himachal-pradesh
TOTAL,695970,1981429213.7026682,shimla district,2019,3,himachal-pradesh
TOTAL,88416,142694743.74010605,bilaspur district,2019,3,himachal-pradesh
TOTAL,187716,301844559.3146769,hamirpur district,2019,3,himachal-pradesh
TOTAL,134630,227364592.3232284,una district,2019,3,himachal-pradesh
TOTAL,373339,645470163.0699661,kangra district,2019,3,himachal-pradesh
TOTAL,146216,316994313.5845799,kullu district,2019,3,himachal-pradesh
TOTAL,262386,545822136.934624,mandi district,2019,3,himachal-pradesh
TOTAL,3227,6393534.6480257325,lahul and spiti district,2019,3,himachal-pradesh
TOTAL,87489,151224161.28503343,chamba district,2019,3,himachal-pradesh
TOTAL,37239,74894047.69871384,kinnaur district,2019,3,himachal-pradesh
TOTAL,693523,1168760137.4633098,solan district,2019,4,himachal-pradesh
TOTAL,190673,324766028.26129776,sirmaur district,2019,4,himachal-pradesh
TOTAL,900252,2553513821.2140336,shimla district,2019,4,himachal-pradesh
TOTAL,114888,204391757.70598233,bilaspur district,2019,4,himachal-pradesh
TOTAL,258323,429776009.8441242,hamirpur district,2019,4,himachal-pradesh
TOTAL,173510,293924768.3295568,una district,2019,4,himachal-pradesh
TOTAL,492277,877780658.252526,kangra district,2019,4,himachal-pradesh
TOTAL,204518,442222672.1025748,kullu district,2019,4,himachal-pradesh
TOTAL,332554,678830304.0119476,mandi district,2019,4,himachal-pradesh
TOTAL,4141,8457290.813101089,lahul and spiti district,2019,4,himachal-pradesh
TOTAL,111755,196209094.0899575,chamba district,2019,4,himachal-pradesh
TOTAL,40232,92530995.15982531,kinnaur district,2019,4,himachal-pradesh
TOTAL,821088,1293083622.0835805,solan district,2020,1,himachal-pradesh
TOTAL,240485,386990850.03422594,sirmaur district,2020,1,himachal-pradesh
TOTAL,1115491,2725598845.0394974,shimla district,2020,1,himachal-pradesh
TOTAL,144278,226926312.01782265,bilaspur district,2020,1,himachal-pradesh
TOTAL,247878,312050564.78676903,hamirpur district,2020,1,himachal-pradesh
TOTAL,208785,305641992.38407075,una district,2020,1,himachal-pradesh
TOTAL,569437,836283217.4197668,kangra district,2020,1,himachal-pradesh
TOTAL,245803,451467537.5665263,kullu district,2020,1,himachal-pradesh
TOTAL,357222,582031760.1284182,mandi district,2020,1,himachal-pradesh
TOTAL,6942,9701822.890865188,lahul and spiti district,2020,1,himachal-pradesh
TOTAL,139862,213171894.7803222,chamba district,2020,1,himachal-pradesh
TOTAL,47209,76518331.9908822,kinnaur district,2020,1,himachal-pradesh
TOTAL,808170,1165900725.2493396,solan district,2020,2,himachal-pradesh
TOTAL,281385,405760136.7626385,sirmaur district,2020,2,himachal-pradesh
TOTAL,1090361,2702081598.463577,shimla district,2020,2,himachal-pradesh
TOTAL,191375,284432330.03137827,bilaspur district,2020,2,himachal-pradesh
TOTAL,283099,412476792.88438106,hamirpur district,2020,2,himachal-pradesh
TOTAL,271636,407244006.0493055,una district,2020,2,himachal-pradesh
TOTAL,800587,1148113744.7012944,kangra district,2020,2,himachal-pradesh
TOTAL,211730,311597474.942107,kullu district,2020,2,himachal-pradesh
TOTAL,476844,764632316.553696,mandi district,2020,2,himachal-pradesh
TOTAL,15943,25815249.01271619,lahul and spiti district,2020,2,himachal-pradesh
TOTAL,195242,282218981.7534903,chamba district,2020,2,himachal-pradesh
TOTAL,69358,126631406.13999891,kinnaur district,2020,2,himachal-pradesh
TOTAL,1025251,1684944862.9521143,solan district,2020,3,himachal-pradesh
TOTAL,327646,558556837.731833,sirmaur district,2020,3,himachal-pradesh
TOTAL,1285819,3273522193.6950035,shimla district,2020,3,himachal-pradesh
TOTAL,202526,342802524.64657944,bilaspur district,2020,3,himachal-pradesh
TOTAL,330684,570857451.2158681,hamirpur district,2020,3,himachal-pradesh
TOTAL,351065,649892231.6889067,una district,2020,3,himachal-pradesh
TOTAL,874419,1454881898.970782,kangra district,2020,3,himachal-pradesh
TOTAL,256926,493361636.48255086,kullu district,2020,3,himachal-pradesh
TOTAL,510105,917547335.014626,mandi district,2020,3,himachal-pradesh
TOTAL,25549,48465700.86848286,lahul and spiti district,2020,3,himachal-pradesh
TOTAL,219469,362005461.96742666,chamba district,2020,3,himachal-pradesh
TOTAL,80417,159215878.8528062,kinnaur district,2020,3,himachal-pradesh
TOTAL,1429031,2365446849.233446,solan district,2020,4,himachal-pradesh
TOTAL,443100,785448896.1147674,sirmaur district,2020,4,himachal-pradesh
TOTAL,1481567,3532549313.262061,shimla district,2020,4,himachal-pradesh
TOTAL,275513,518335916.8663252,bilaspur district,2020,4,himachal-pradesh
TOTAL,431123,781165089.0953674,hamirpur district,2020,4,himachal-pradesh
TOTAL,449443,882226488.1512837,una district,2020,4,himachal-pradesh
TOTAL,1184008,2119401487.8765106,kangra district,2020,4,himachal-pradesh
TOTAL,468786,964080436.8492869,kullu district,2020,4,himachal-pradesh
TOTAL,671714,1247938155.7973926,mandi district,2020,4,himachal-pradesh
TOTAL,29377,52449015.71120784,lahul and spiti district,2020,4,himachal-pradesh
TOTAL,304032,507880011.35891914,chamba district,2020,4,himachal-pradesh
TOTAL,104634,232131448.49633557,kinnaur district,2020,4,himachal-pradesh
TOTAL,1415611,2334165842.866145,solan district,2021,1,himachal-pradesh
TOTAL,451501,789668056.651283,sirmaur district,2021,1,himachal-pradesh
TOTAL,1871647,3621617004.9139824,shimla district,2021,1,himachal-pradesh
TOTAL,256578,504967322.0491564,bilaspur district,2021,1,himachal-pradesh
TOTAL,416499,720857278.5633022,hamirpur district,2021,1,himachal-pradesh
TOTAL,490374,941158055.3202168,una district,2021,1,himachal-pradesh
TOTAL,1122291,2006571077.1134858,kangra district,2021,1,himachal-pradesh
TOTAL,550514,1212317567.8071225,kullu district,2021,1,himachal-pradesh
TOTAL,659769,1258330265.8409514,mandi district,2021,1,himachal-pradesh
TOTAL,22364,43174794.325905874,lahul and spiti district,2021,1,himachal-pradesh
TOTAL,273886,510880053.0153753,chamba district,2021,1,himachal-pradesh
TOTAL,82995,176839591.02058092,kinnaur district,2021,1,himachal-pradesh
TOTAL,1658067,2575741414.594649,solan district,2021,2,himachal-pradesh
TOTAL,567339,922354065.2120935,sirmaur district,2021,2,himachal-pradesh
TOTAL,2474329,4402623043.9412,shimla district,2021,2,himachal-pradesh
TOTAL,322915,613068902.4728888,bilaspur district,2021,2,himachal-pradesh
TOTAL,551934,946105069.9392335,hamirpur district,2021,2,himachal-pradesh
TOTAL,634078,1174326754.6527784,una district,2021,2,himachal-pradesh
TOTAL,1399606,2443026330.2982035,kangra district,2021,2,himachal-pradesh
TOTAL,510109,966612054.811816,kullu district,2021,2,himachal-pradesh
TOTAL,832152,1488270045.9430394,mandi district,2021,2,himachal-pradesh
TOTAL,42389,84447426.03287596,lahul and spiti district,2021,2,himachal-pradesh
TOTAL,364270,617691720.4435453,chamba district,2021,2,himachal-pradesh
TOTAL,126714,261367711.46694133,kinnaur district,2021,2,himachal-pradesh
TOTAL,2183306,3233240074.9271526,solan district,2021,3,himachal-pradesh
TOTAL,681413,1083275309.4275234,sirmaur district,2021,3,himachal-pradesh
TOTAL,3421673,6296627879.774387,shimla district,2021,3,himachal-pradesh
TOTAL,364475,689922524.0999279,bilaspur district,2021,3,himachal-pradesh
TOTAL,626711,1085444382.5637474,hamirpur district,2021,3,himachal-pradesh
TOTAL,799861,1417386870.9287395,una district,2021,3,himachal-pradesh
TOTAL,1671112,2887492721.743307,kangra district,2021,3,himachal-pradesh
TOTAL,730794,1573258668.3417544,kullu district,2021,3,himachal-pradesh
TOTAL,945135,1753985903.702748,mandi district,2021,3,himachal-pradesh
TOTAL,66765,166377010.26103356,lahul and spiti district,2021,3,himachal-pradesh
TOTAL,426381,769418422.8733866,chamba district,2021,3,himachal-pradesh
TOTAL,146541,353832302.4842438,kinnaur district,2021,3,himachal-pradesh
TOTAL,2640011,3757890500.1969657,solan district,2021,4,himachal-pradesh
TOTAL,847647,1363383254.395042,sirmaur district,2021,4,himachal-pradesh
TOTAL,3957985,7356261501.68967,shimla district,2021,4,himachal-pradesh
TOTAL,430870,844889571.9622381,bilaspur district,2021,4,himachal-pradesh
TOTAL,717321,1262408331.5777433,hamirpur district,2021,4,himachal-pradesh
TOTAL,1048351,1936766072.2652125,una district,2021,4,himachal-pradesh
TOTAL,2130139,3830143759.599303,kangra district,2021,4,himachal-pradesh
TOTAL,1078809,2242410725.933015,kullu district,2021,4,himachal-pradesh
TOTAL,1092862,2082662004.4459343,mandi district,2021,4,himachal-pradesh
TOTAL,59045,138242899.070293,lahul and spiti district,2021,4,himachal-pradesh
TOTAL,507614,926400609.5746634,chamba district,2021,4,himachal-pradesh
TOTAL,156210,394761269.9156797,kinnaur district,2021,4,himachal-pradesh
TOTAL,13,14559.803406151601,muzaffarabad district,2018,1,jammu-&-kashmir
TOTAL,4108,7065930.233463201,doda district,2018,1,jammu-&-kashmir
TOTAL,14795,21534891.0416242,samba district,2018,1,jammu-&-kashmir
TOTAL,1320,3052181.909064396,mirpur district,2018,1,jammu-&-kashmir
TOTAL,47285,62676256.75828372,srinagar district,2018,1,jammu-&-kashmir
TOTAL,83775,44215018.00395158,baramulla district,2018,1,jammu-&-kashmir
TOTAL,81381,127452979.35873458,jammu district,2018,1,jammu-&-kashmir
TOTAL,20571,9107649.670974826,ganderbal district,2018,1,jammu-&-kashmir
TOTAL,17620,31451872.26861042,udhampur district,2018,1,jammu-&-kashmir
TOTAL,38208,11885513.905010346,bandipore district,2018,1,jammu-&-kashmir
TOTAL,7433,12816155.33273841,reasi district,2018,1,jammu-&-kashmir
TOTAL,5083,3598498.6345729744,shopian district,2018,1,jammu-&-kashmir
TOTAL,398963,509120439.3079825,poonch district,2018,1,jammu-&-kashmir
TOTAL,17643,22353839.21295397,kathua district,2018,1,jammu-&-kashmir
TOTAL,2054,3514299.9889703216,kishtwar district,2018,1,jammu-&-kashmir
TOTAL,35793,24777476.308443584,pulwama district,2018,1,jammu-&-kashmir
TOTAL,5326,7284248.818676664,ramban district,2018,1,jammu-&-kashmir
TOTAL,10199,16045672.106446449,rajouri district,2018,1,jammu-&-kashmir
TOTAL,23587,9213671.326669723,kulgam district,2018,1,jammu-&-kashmir
TOTAL,50748,36218453.70685134,budgam district,2018,1,jammu-&-kashmir
TOTAL,64478,24885721.231939793,anantnag district,2018,1,jammu-&-kashmir
TOTAL,11185,17085910.326759618,kupwara district,2018,1,jammu-&-kashmir
TOTAL,75,368823.4836135323,muzaffarabad district,2018,2,jammu-&-kashmir
TOTAL,7631,16114372.115183618,doda district,2018,2,jammu-&-kashmir
TOTAL,20917,36387040.50852826,samba district,2018,2,jammu-&-kashmir
TOTAL,1885,4089198.7363343993,mirpur district,2018,2,jammu-&-kashmir
TOTAL,92244,140893315.71476018,srinagar district,2018,2,jammu-&-kashmir
TOTAL,188100,100055918.36977986,baramulla district,2018,2,jammu-&-kashmir
TOTAL,112434,232232787.92328903,jammu district,2018,2,jammu-&-kashmir
TOTAL,41415,24295329.738405794,ganderbal district,2018,2,jammu-&-kashmir
TOTAL,27804,60326675.00386811,udhampur district,2018,2,jammu-&-kashmir
